Day,Total_Victims,Total_Loss,Avg_Stress,Avg_Trust,Job_Loss
0,0,0,0,1
30,30,5900,0.02261,0.96043
60,60,20000,0.048882,0.88597
90,90,41100,0.0830085,0.78863
120,120,67200,0.120058,0.69394
150,151,100600,0.163955,0.59072
180,184,139800,0.214759,0.49637
